 Arrived: 02/1/22 4:00:00, 450, 103 St-Corona Plaza (7), Queens, 4
 Arrived: 02/1/22 4:00:00, 450, 103 St-Corona Plaza (7), Queens, 20
 Arrived: 02/1/22 4:00:00, 450, 103 St-Corona Plaza (7), Queens, 76
 Arrived: 02/1/22 4:00:00, 451, Junction Blvd (7), Queens, 4
 Arrived: 02/1/22 4:00:00, 451, Junction Blvd (7), Queens, 5
 Arrived: 02/1/22 4:00:00, 451, Junction Blvd (7), Queens, 84
 Arrived: 02/1/22 4:00:00, 451, Junction Blvd (7), Queens, 4
 Arrived: 02/1/22 4:00:00, 451, Junction Blvd (7), Queens, 21
 Arrived: 02/1/22 4:00:00, 451, Junction Blvd (7), Queens, 60
 Arrived: 02/1/22 4:00:00, 452, 90 St-Elmhurst Av (7), Queens, 2
 Arrived: 02/1/22 4:00:00, 452, 90 St-Elmhurst Av (7), Queens, 7
 Arrived: 02/1/22 4:00:00, 452, 90 St-Elmhurst Av (7), Queens, 60
 Arrived: 02/1/22 4:00:00, 452, 90 St-Elmhurst Av (7), Queens, 27
 Arrived: 02/1/22 4:00:00, 452, 90 St-Elmhurst Av (7), Queens, 6
 Arrived: 02/1/22 4:00:00, 452, 90 St-Elmhurst Av (7), Queens, 45
 Arrived: 02/1/22 4:00:00, 453, 82 St-Jackson Hts (7), Queens, 39
 Arrived: 02/1/22 4:00:00, 453, 82 St-Jackson Hts (7), Queens, 1
 Arrived: 02/1/22 4:00:00, 453, 82 St-Jackson Hts (7), Queens, 4
 Arrived: 02/1/22 4:00:00, 453, 82 St-Jackson Hts (7), Queens, 3
 Arrived: 02/1/22 4:00:00, 453, 82 St-Jackson Hts (7), Queens, 17
 Arrived: 02/1/22 4:00:00, 453, 82 St-Jackson Hts (7), Queens, 26
 Arrived: 02/1/22 4:00:00, 455, 69 St (7), Queens, 9
 Arrived: 02/1/22 4:00:00, 455, 69 St (7), Queens, 1
 Arrived: 02/1/22 4:00:00, 455, 69 St (7), Queens, 5
 Arrived: 02/1/22 4:00:00, 455, 69 St (7), Queens, 5
 Arrived: 02/1/22 4:00:00, 456, 61 St-Woodside (7), Queens, 4
 Arrived: 02/1/22 4:00:00, 456, 61 St-Woodside (7), Queens, 9
 Arrived: 02/1/22 4:00:00, 456, 61 St-Woodside (7), Queens, 31
 Arrived: 02/1/22 4:00:00, 456, 61 St-Woodside (7), Queens, 3
 Arrived: 02/1/22 4:00:00, 456, 61 St-Woodside (7), Queens, 15
 Arrived: 02/1/22 4:00:00, 456, 61 St-Woodside (7), Queens, 16
 Arrived: 02/1/22 4:00:00, 457, 52 St (7), Queens, 8
 Arrived: 02/1/22 4:00:00, 457, 52 St (7), Queens, 7
 Arrived: 02/1/22 4:00:00, 457, 52 St (7), Queens, 5
 Arrived: 02/1/22 4:00:00, 458, 46 St-Bliss St (7), Queens, 3
 Arrived: 02/1/22 4:00:00, 458, 46 St-Bliss St (7), Queens, 22
 Arrived: 02/1/22 4:00:00, 458, 46 St-Bliss St (7), Queens, 7
 Arrived: 02/1/22 4:00:00, 458, 46 St-Bliss St (7), Queens, 21
 Arrived: 02/1/22 4:00:00, 458, 46 St-Bliss St (7), Queens, 3
 Arrived: 02/1/22 4:00:00, 458, 46 St-Bliss St (7), Queens, 9
 Arrived: 02/1/22 4:00:00, 459, 40 St-Lowery St (7), Queens, 9
 Arrived: 02/1/22 4:00:00, 459, 40 St-Lowery St (7), Queens, 2
 Arrived: 02/1/22 4:00:00, 459, 40 St-Lowery St (7), Queens, 7
 Arrived: 02/1/22 4:00:00, 46, Cortelyou Rd (Q), Brooklyn, 3
 Arrived: 02/1/22 4:00:00, 459, 40 St-Lowery St (7), Queens, 6
 Arrived: 02/1/22 4:00:00, 46, Cortelyou Rd (Q), Brooklyn, 16
 Arrived: 02/1/22 4:00:00, 46, Cortelyou Rd (Q), Brooklyn, 1
 Arrived: 02/1/22 4:00:00, 46, Cortelyou Rd (Q), Brooklyn, 3
 Arrived: 02/1/22 4:00:00, 46, Cortelyou Rd (Q), Brooklyn, 2
 Arrived: 02/1/22 4:00:00, 46, Cortelyou Rd (Q), Brooklyn, 8
 Arrived: 02/1/22 4:00:00, 460, 33 St-Rawson St (7), Queens, 6
 Arrived: 02/1/22 4:00:00, 460, 33 St-Rawson St (7), Queens, 3
 Arrived: 02/1/22 4:00:00, 461, Queensboro Plaza (7,N,W), Queens, 2
 Arrived: 02/1/22 4:00:00, 461, Queensboro Plaza (7,N,W), Queens, 12
 Arrived: 02/1/22 4:00:00, 461, Queensboro Plaza (7,N,W), Queens, 1
 Arrived: 02/1/22 4:00:00, 461, Queensboro Plaza (7,N,W), Queens, 4
 Arrived: 02/1/22 4:00:00, 461, Queensboro Plaza (7,N,W), Queens, 8
